role,kod_predmetu,nazev_predmetu,rozsah_vyuky,zakonceni,semestr,pocet_kreditu,vyucujici,katedra,doporuceny_semestr
PP,MI-PAA,Problémy a algoritmy,2P+1R+1C,"Z,ZK",Z,5,,18103,1
PP,MI-MPI,Matematika pro informatiku,3P+2C,"Z,ZK",Z,7,,18105,1
PO,MI-MDW.16,Webové služby a middleware,2P+1C,"Z,ZK",Z,5,,18102,1
PZ,MI-ADP.16,Architektonické a návrhové vzory,2P+1C,"Z,ZK",Z,5,,18102,1
PP,MI-PDP.16,Paralelní a distribuované programování,2P+2C,"Z,ZK",L,5,,18104,2
PP,MI-SPI.16,Statistika pro informatiku,4P+2C,"Z,ZK",L,7,,18105,2
PZ,MI-FME.16,Formální metody a specifikace,2P+1C,"Z,ZK",L,5,,18102,2
PZ,MI-NSS.16,Normalized Software Systems,2P,ZK,L,5,,18102,2
PZ,MI-PIS.16,Pokročilé informační systémy,2P+1C,"Z,ZK",L,5,,18102,2
PP,MI-MPR,Magisterský projekt,,Z,"Z,L",7,,18000,3
PO,MI-PDB.16,Pokročilé databázové systémy,2P+1C,"Z,ZK",Z,5,,18102,3
PZ,MI-NUR.16,Návrh uživatelského rozhraní,2P+1C,"Z,ZK",Z,5,,18102,3
PP,MI-DIP,Magisterská práce,,Z,"L,Z",23,,18000,4
