role,kod_predmetu,nazev_predmetu,rozsah_vyuky,zakonceni,semestr,pocet_kreditu,vyucujici,katedra,doporuceny_semestr
PP,MI-PAA,Problémy a algoritmy,2P+1R+1C,"Z,ZK",Z,5,,18103,1
PP,MI-MPI,Matematika pro informatiku,3P+2C,"Z,ZK",Z,7,,18105,1
PO,MI-VMM.16,Vyhledávání v multimédiích,2P+1C,"Z,ZK",Z,5,,18102,1
PO,MI-PDD.16,Předzpracování dat,2P+1C,"Z,ZK",Z,5,,18105,1
PP,MI-PDP.16,Paralelní a distribuované programování,2P+2C,"Z,ZK",L,5,,18104,2
PP,MI-SPI.16,Statistika pro informatiku,4P+2C,"Z,ZK",L,7,,18105,2
PO,MI-DDW.16,Dolování dat z webu,2P+1C,"Z,ZK",L,5,,18102,2
PO,MI-ADM.16,Algoritmy data miningu,2P+1C,"Z,ZK",L,5,,18105,2
PO,MI-MVI.16,Metody výpočetní inteligence,2P+1C,"Z,ZK",Z,5,,18105,2
PP,MI-MPR,Magisterský projekt,,Z,"Z,L",7,,18000,3
PO,MI-PDB.16,Pokročilé databázové systémy,2P+1C,"Z,ZK",Z,5,,18102,3
PO,MI-EDW.16,Podnikové datové sklady,2P+1C,"Z,ZK",L,5,,18105,3
PP,MI-DIP,Magisterská práce,,Z,"L,Z",23,,18000,4
